sample_wall_ns,session,event,event_generation,event_wall_ns,overwritten_samples,capture_audio_timestamp_ns,capture_audio_wall_ns,capture_audio_timestamp_delta_ns,capture_audio_wall_delta_ns,capture_audio_ndi_timestamp_100ns,capture_audio_ndi_timecode_100ns,capture_audio_frames,capture_audio_sample_rate,capture_audio_channels,capture_audio_observations,capture_audio_pacing_anomalies,capture_video_timestamp_ns,capture_video_wall_ns,capture_video_timestamp_delta_ns,capture_video_wall_delta_ns,capture_video_ndi_timestamp_100ns,capture_video_ndi_timecode_100ns,capture_video_width,capture_video_height,capture_video_unused,capture_video_observations,capture_video_pacing_anomalies,output_audio_timestamp_ns,output_audio_wall_ns,output_audio_timestamp_delta_ns,output_audio_wall_delta_ns,output_audio_ndi_timestamp_100ns,output_audio_ndi_timecode_100ns,output_audio_frames,output_audio_sample_rate,output_audio_channels,output_audio_observations,output_audio_pacing_anomalies,output_video_timestamp_ns,output_video_wall_ns,output_video_timestamp_delta_ns,output_video_wall_delta_ns,output_video_ndi_timestamp_100ns,output_video_ndi_timecode_100ns,output_video_width,output_video_height,output_video_unused,output_video_observations,output_video_pacing_anomalies,filtered_audio_timestamp_ns,filtered_audio_wall_ns,filtered_audio_timestamp_delta_ns,filtered_audio_wall_delta_ns,filtered_audio_ndi_timestamp_100ns,filtered_audio_ndi_timecode_100ns,filtered_audio_frames,filtered_audio_unused_a,filtered_audio_unused_b,filtered_audio_observations,filtered_audio_pacing_anomalies,selected_video_timestamp_ns,selected_video_wall_ns,selected_video_timestamp_delta_ns,selected_video_wall_delta_ns,selected_video_ndi_timestamp_100ns,selected_video_ndi_timecode_100ns,selected_video_unused_a,selected_video_unused_b,selected_video_unused_c,selected_video_observations,selected_video_pacing_anomalies,mode,receiver_epoch_ns,next_audio_deadline_ns,next_video_deadline_ns,cumulative_audio_frames,video_ticks,audio_deadline_error_ns,video_deadline_error_ns,audio_catchups,video_catchups,repeated_video_frames,empty_audio_pulls,empty_video_pulls,ndi_total_audio_frames,ndi_total_video_frames,ndi_dropped_audio_frames,ndi_dropped_video_frames,ndi_queued_audio_frames,ndi_queued_video_frames,capture_video_minus_capture_audio_projected_ns,output_video_minus_output_audio_projected_ns,selected_video_minus_output_video_projected_ns,filtered_audio_minus_output_audio_projected_ns,selected_video_minus_filtered_audio_projected_ns
289901890193500,1,receiver_ready,3,289897868106800,0,1784445661969963000,289901890154600,0,0,17844456619501144,17844456619699630,1024,48000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1784445661969963000,289901890155400,0,0,0,0,1024,48000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1784445661969963000,289901890185600,0,400,0,0,1024,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-30200,0
289902154989600,1,,3,0,0,1784445662225962600,289902132003300,21333300,21405000,17844456622049654,17844456622259626,1024,48000,2,13,2,1784445662223768700,289902152496200,16666700,16376300,17844456622081478,17844456622237687,3840,2160,0,17,1,1784445662225962600,289902132003900,21333300,21405000,0,0,1024,48000,2,13,2,1784445662223768700,289902152498000,16666700,16376600,0,0,3840,2160,0,17,1,1784445662225962600,289902132006900,0,200,0,0,1024,0,0,52,41,1784445662190435300,289902151467200,0,200,0,0,0,0,0,60,46,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,1,0,-22686800,-22688000,-32302600,-3000,-54987600
289902409823200,1,,3,0,0,1784445662503295500,289902409814900,21333300,21350700,17844456624827917,17844456625032955,1024,48000,2,26,2,1784445662473769200,289902402721900,16666700,16425000,17844456624581794,17844456624737692,3840,2160,0,32,1,1784445662503295500,289902409815100,21333300,21350800,0,0,1024,48000,2,26,2,1784445662473769200,289902402722900,16666700,16425500,0,0,3840,2160,0,32,1,1784445662503295500,289902409818300,0,100,0,0,1024,0,0,104,80,1784445662440435800,289902401483400,0,200,0,0,0,0,0,120,91,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,0,0,0,0,-22433300,-22434100,-32093900,-3200,-54524800
289902665634200,1,,3,0,0,1784445662759295100,289902665627100,21333300,20313300,17844456627386182,17844456627592951,1024,48000,2,38,3,1784445662723769700,289902652405700,16666700,17356600,17844456627082157,17844456627237697,3840,2160,0,47,1,1784445662759295100,289902665627400,21333300,20313400,0,0,1024,48000,2,38,3,1784445662723769700,289902652406300,16666700,17356900,0,0,3840,2160,0,47,1,1784445662759295100,289902665629700,0,100,0,0,1024,0,0,152,117,1784445662690436300,289902651460700,0,100,0,0,0,0,0,180,136,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,0,0,0,0,-22304000,-22304300,-32387800,-2300,-54689800
289902921057400,1,,3,0,0,1784445662993961400,289902901134500,21333300,22169500,17844456629743192,17844456629939614,1024,48000,2,49,3,1784445662990436900,289902918775500,16666700,16028200,17844456629749911,17844456629904369,3840,2160,0,63,1,1784445662993961400,289902901134900,21333300,22169600,0,0,1024,48000,2,49,3,1784445662990436900,289902918776600,16666700,16028000,0,0,3840,2160,0,63,1,1784445662993961400,289902901139200,0,100,0,0,1024,0,0,196,150,1784445662957103500,289902918130000,0,100,0,0,0,0,0,244,184,0,0,0,0,0,0,0,0,0,0,0,0,0,49,63,0,0,0,0,-21165500,-21166200,-32686800,-4300,-53848700
289903177787400,1,,3,0,0,1784445663271294300,289903177780300,21333300,21329400,17844456632506891,17844456632712943,1024,48000,2,62,3,1784445663240437400,289903168676200,16666700,15074800,17844456632247149,17844456632404374,3840,2160,0,78,2,1784445663271294300,289903177780600,21333300,21329400,0,0,1024,48000,2,62,3,1784445663240437400,289903168677100,16666700,15075300,0,0,3840,2160,0,78,2,1784445663271294300,289903177783700,0,300,0,0,1024,0,0,248,189,1784445663207104000,289903168124900,0,100,0,0,0,0,0,304,229,0,0,0,0,0,0,0,0,0,0,0,0,0,62,78,0,0,0,0,-21752800,-21753400,-32781200,-3100,-54531500
289903433495000,1,,3,0,0,1784445663527293900,289903433483600,21333300,19783000,17844456635065377,17844456635272939,1024,48000,2,74,3,1784445663490437900,289903418839100,16666700,14685600,17844456634746973,17844456634904379,3840,2160,0,93,3,1784445663527293900,289903433484000,21333300,19782800,0,0,1024,48000,2,74,3,1784445663490437900,289903418839800,16666700,14685100,0,0,3840,2160,0,93,3,1784445663527293900,289903433487600,0,200,0,0,1024,0,0,296,225,1784445663457104500,289903418128100,0,200,0,0,0,0,0,364,274,0,0,0,0,0,0,0,0,0,0,0,0,0,74,93,0,0,0,0,-22211500,-22211800,-32621700,-3600,-54829900
289903687995600,1,,3,0,0,1784445663761960200,289903668020700,21333300,21472000,17844456637410414,17844456637619602,1024,48000,2,85,3,1784445663757105100,289903686045200,16666700,15965000,17844456637416326,17844456637571051,3840,2160,0,109,3,1784445663761960200,289903668021400,21333300,21472400,0,0,1024,48000,2,85,3,1784445663757105100,289903686045900,16666700,15965300,0,0,3840,2160,0,109,3,1784445663761960200,289903668027000,0,200,0,0,1024,0,0,340,258,1784445663723771700,289903684792000,0,100,0,0,0,0,0,428,322,0,0,0,0,0,0,0,0,0,0,0,0,0,85,109,0,0,0,0,-22879600,-22879600,-32079500,-5600,-54953500
289903938422000,1,,3,0,0,1784445664017959800,289903925123100,21333300,20518100,17844456639982608,17844456640179598,1024,48000,2,97,3,1784445664007105600,289903936396500,16666700,15969300,17844456639916348,17844456640071056,3840,2160,0,124,3,1784445664017959800,289903925123500,21333300,20518400,0,0,1024,48000,2,97,3,1784445664007105600,289903936397000,16666700,15968500,0,0,3840,2160,0,124,3,1784445664017959800,289903925125700,0,200,0,0,1024,0,0,388,294,1784445663973772200,289903934804200,0,100,0,0,0,0,0,488,367,0,0,0,0,0,0,0,0,0,0,0,0,0,97,124,0,0,0,0,-22127600,-22127700,-31740600,-2200,-53866100
289904201380100,1,,3,0,0,1784445664295292700,289904201373000,21333300,21538700,17844456642743745,17844456642952927,1024,48000,2,110,4,1784445664257106100,289904186390400,16666700,17421200,17844456642415026,17844456642571061,3840,2160,0,139,3,1784445664295292700,289904201373300,21333300,21538900,0,0,1024,48000,2,110,4,1784445664257106100,289904186390700,16666700,17421100,0,0,3840,2160,0,139,3,1784445664295292700,289904201375500,0,100,0,0,1024,0,0,440,334,1784445664223772700,289904184792300,0,0,0,0,0,0,0,548,412,0,0,0,0,0,0,0,0,0,0,0,0,0,110,139,0,0,0,0,-23204000,-23204000,-31735000,-2200,-54936800
